id,frequency
10cf783b635c4a09,    0
10d0669cfa1e80c5,    0
10d30256f6849e33,    2
10d30edb62865825,    0
10d3123be4e1802e,    0
10d31e5a06a8cf6a,    0
10d3555feba76016,    0
10d40d1c284729d7,    0
10d6d511fed21144,    0
10d70952a7365b24,    0
10d79ce39285085d,    0
10d9264d63223cf1,    1
10dc3e406837f858,   57
10dc6cc3c13d033e,    0
10ddc78b6c9a1af3,    0
10ddd963edb624e3,    0
10de1b788a9a0c67,    0
10dee98feb499c8e,    0
10df3fc72ce2ad75,    0
10e14aa8ff53b220,    0
10e2a758d4768b12,    0
10e2c8450b0884d4,    0
10e30f342c4f0e6a,    0
10e56cc065d1aa58,    0
10e83d22380dd30a,    0
10e89911a1389fdb,    0
10e8c304db7c7735,    0
10e91813804cd0ae,    0
10e9c2f186227873,    5
10ea300ba5b8580b,    0
10ea8d4b7b96220d,    0
10eadb2a09351364,    0
10eb5e3e090ec1a0,    0
10eb9e8f5feed6bd,    0
10ec5ed4d35679f7,    0
10edbfec1924f654,    0
10ee1caf4fb43b16,    0
10ef9828f25431d1,    0
10f0bab1f4828f13,    0
10f1969f2ef62ebe,    0
10f1b99fc25ad035,    0
10f25717ff31c05b,    0
10f4c27169adab12,    0
10f71c0da041e3eb,    0
10f737201c902f45,    0
10f7a5ef3aff9823,    0
10f7b0e1d56f56cd,    0
10f8681ae2edd473,    0
10f8c4407b1dc15e,    0
10fa3bb9974bf85d,   13
10fa42225b5d6987,    0
10fa99397e67557f,    0
10fc10caac50c3fd,    0
10fe86946abac1e0,    2
10ff5d249fc7c4d9,    0
10ff75a79e1d7956,    0
10ffec53ac685964,    0
1100bf425305519e,    0
1100e038c5065a16,    1
1101670c4d433adc,  711
11028b2db80ef88c,    0
1102d5c06eceb00c,    3
1102f4868c740644,    0
1104d49f034eab23,    0
11063db3193bfc76,    0
11073f63c13c4bcb,    0
11075c1526144a83,    0
11079a31897c410f,   56
11082f5e92323369,    0
11089a230476dff6,    0
11090b8e0ce14295,    0
11091742627e1aaa,    0
110976849bccb76c,    0
11097b3ce7698d61,    0
11098b3fcb0ffb24,    0
110a046fdcaf640e,    4
110a334d11228a8e,    0
110aab543176cecf,    0
110b5ff995b8f279,   30
110c42463f8da42a,    0
110f2dd470da20fd,    0
110f9da1607a3911,    0
110fc5d9932ca592,    0
11104b94757914ab,    0
1111f38f8502f819,    0
11126abc3fcca575,    0
1113fb8844b0696b,    0
1115beae4ce47e63,    0
1116cabdb4717528,    0
111a95b41525bf57,    0
111b60398e77ae32,    0
111b9dd867b4ee1c,    0
111ba43323a3c3d1,    0
111bcf29a35adaa1,    0
111beb9d1c44bb6f,    0
111d2fed3ae693f1,    6
111d90964ce0b76c,    0
